209,205,42845
585,900,526500
318,209,66462
117,70,8190
655,834,546270
609,501,305109
50,322,16100
77,424,32648
193,58,11194
658,102,67116
30,180,5400
587,605,355135
939,830,779370
708,513,363204
501,187,93687
264,414,109296
431,403,173693
45,565,25425
896,810,725760
755,936,706680
8,364,2912
28,679,19012
496,41,20336
709,557,394913
986,463,456518
79,666,52614
957,340,325380
983,770,756910
395,768,303360
348,496,172608
709,99,70191
171,745,127395
297,922,273834
664,509,337976
648,102,66096
54,615,33210
544,257,139808
412,191,78692
93,116,10788
423,951,402273
372,67,24924
2,144,288
742,543,402906
79,736,58144
412,615,253380
430,328,141040
235,5,1175
483,405,195615
551,358,197258
256,32,8192
965,849,819285
660,228,150480
554,391,216614
977,235,229595
998,804,802392
482,377,181714
517,395,204215
411,223,91653
311,471,146481
376,491,184616
50,176,8800
177,374,66198
68,873,59364
840,494,414960
523,468,244764
800,994,795200
316,40,12640
884,674,595816
846,804,680184
260,993,258180
336,483,162288
674,764,514936
49,165,8085
43,931,40033
817,467,381539
179,887,158773
326,540,176040
879,701,616179
225,174,39150
619,727,450013
330,741,244530
385,698,268730
956,229,218924
831,220,182820
232,609,141288
782,805,629510
384,540,207360
487,421,205027
479,192,91968
678,983,666474
465,121,56265
233,880,205040
223,634,141382
716,537,384492
370,329,121730
433,83,35939
141,264,37224
478,348,166344
484,992,480128
170,997,169490
688,821,564848
667,534,356178
239,998,238522
562,759,426558
917,837,767529
19,982,18658
442,225,99450
256,896,229376
626,964,603464
802,177,141954
160,137,21920
150,243,36450
975,391,381225
30,595,17850
770,997,767690
45,883,39735
683,620,423460
725,654,474150
477,375,178875
903,44,39732
593,522,309546
647,932,603004
461,579,266919
860,857,737020
679,16,10864
921,864,795744
836,697,582692
933,277,258441
562,709,398458
909,659,599031
748,186,139128
641,284,182044
196,535,104860
480,528,253440
297,288,85536
369,670,247230
677,781,528737
561,597,334917
424,172,72928
374,345,129030
77,849,65373
484,107,51788
551,316,174116
795,117,93015
755,809,610795
173,544,94112
565,566,319790
883,308,271964
900,52,46800
663,407,269841
659,291,191769
924,439,405636
903,367,331401
798,186,148428
689,223,153647
55,412,22660
773,350,270550
181,971,175751
937,901,844237
185,291,53835
983,361,354863
665,817,543305
600,125,75000
785,835,655475
24,155,3720
666,629,418914
903,455,410865
167,379,63293
485,915,443775
639,869,555291
461,580,267380
197,530,104410
619,671,415349
852,818,696936
408,349,142392
74,429,31746
263,978,257214
448,487,218176
843,350,295050
946,982,928972
394,282,111108
441,528,232848
363,180,65340
626,566,354316
845,647,546715
895,631,564745
786,986,774996
636,197,125292
429,347,148863
52,3,156
701,416,291616
84,41,3444
264,391,103224
569,457,260033
135,863,116505
684,459,313956
144,218,31392
365,544,198560
463,755,349565
321,475,152475
635,635,403225
770,949,730730
665,714,474810
144,672,96768
964,577,556228
833,34,28322
162,580,93960
116,55,6380
913,424,387112
653,57,37221
779,668,520372
323,322,104006
607,406,246442
562,52,29224
809,145,117305
98,344,33712
561,108,60588
816,810,660960
779,56,43624
222,370,82140
357,193,68901
232,681,157992
260,389,101140
11,640,7040
63,265,16695
833,165,137445
5,518,2590
113,622,70286
881,188,165628
175,384,67200
761,525,399525
233,62,14446
510,317,161670
461,556,256316
329,176,57904
788,386,304168
442,800,353600
959,547,524573
848,798,676704
721,782,563822
701,542,379942
511,405,206955
806,885,713310
306,447,136782
569,468,266292
107,568,60776
997,50,49850
805,78,62790
472,445,210040
625,61,38125
483,838,404754
256,681,174336
531,585,310635
801,594,475794
656,998,654688
510,144,73440
214,695,148730
446,927,413442
633,50,31650
871,854,743834
197,305,60085
703,271,190513
569,359,204271
338,822,277836
772,72,55584
913,743,678359
948,479,454092
512,396,202752
101,318,32118
226,128,28928
527,226,119102
666,685,456210
204,156,31824
683,275,187825
451,807,363957
353,209,73777
809,929,751561
905,448,405440
942,325,306150
214,151,32314
91,687,62517
897,903,809991
143,162,23166
286,819,234234
913,13,11869
698,741,517218
890,70,62300
233,551,128383
354,824,291696
807,828,668196
666,276,183816
380,401,152380
231,684,158004
353,197,69541
520,536,278720
354,319,112926
801,753,603153
971,904,877784
492,882,433944
413,498,205674
57,769,43833
197,705,138885
967,760,734920
269,745,200405
842,343,288806
31,330,10230
410,332,136120
309,472,145848
521,395,205795
950,328,311600
167,16,2672
668,954,637272
91,823,74893
295,674,198830
332,740,245680
496,995,493520
422,297,125334
449,331,148619
225,945,212625
116,47,5452
808,676,546208
619,1000,619000
687,145,99615
522,126,65772
84,664,55776
376,129,48504
212,693,146916
778,566,440348
393,206,80958
322,45,14490
925,477,441225
454,782,355028
92,606,55752
360,777,279720
563,460,258980
195,725,141375
376,493,185368
133,724,96292
890,338,300820
866,640,554240
972,587,570564
70,845,59150
441,88,38808
506,70,35420
622,684,425448
396,423,167508
96,875,84000
478,789,377142
164,379,62156
157,820,128740
736,586,431296
818,501,409818
715,841,601315
23,828,19044
170,253,43010
732,667,488244
853,403,343759
159,365,58035
580,758,439640
633,828,524124
698,780,544440
947,290,274630
974,517,503558
867,92,79764
501,513,257013
737,81,59697
522,288,150336
518,290,150220
666,632,420912
41,934,38294
185,835,154475
285,435,123975
161,565,90965
848,611,518128
767,972,745524
432,711,307152
883,74,65342
761,40,30440
351,417,146367
267,241,64347
900,350,315000
725,209,151525
117,950,111150
404,215,86860
408,422,172176
989,397,392633
690,620,427800
335,837,280395
918,733,672894
770,140,107800
507,121,61347
464,684,317376
413,76,31388
824,644,530656
152,3,456
806,744,599664
193,64,12352
735,518,380730
283,96,27168
28,380,10640
678,990,671220
298,826,246148
514,355,182470
355,923,327665
733,204,149532
788,448,353024
622,373,232006
144,403,58032
933,145,135285
266,650,172900
524,974,510376
615,185,113775
772,744,574368
342,588,201096
724,597,432228
280,922,258160
46,226,10396
947,189,178983
379,706,267574
140,278,38920
480,253,121440
755,485,366175
687,63,43281
586,339,198654
227,957,217239
871,12,10452
28,513,14364
254,492,124968
38,635,24130
258,316,81528
200,867,173400
794,829,658226
734,811,595274
199,989,196811
100,602,60200
615,799,491385
142,916,130072
736,872,641792
449,321,144129
201,918,184518
761,33,25113
675,250,168750
455,367,166985
522,848,442656
278,69,19182
215,928,199520
885,554,490290
380,29,11020
493,206,101558
683,39,26637
636,681,433116
281,365,102565
345,681,234945
178,331,58918
743,436,323948
581,180,104580
511,802,409822
151,452,68252
746,289,215594
172,746,128312
466,563,262358
60,449,26940
461,205,94505
971,243,235953
22,430,9460
301,303,91203
507,346,175422
816,906,739296
56,624,34944
548,819,448812
390,466,181740
144,459,66096
605,734,444070
465,593,275745
535,341,182435
11,687,7557
493,597,294321
548,126,69048
447,434,193998
594,117,69498
447,154,68838
470,332,156040
83,949,78767
307,358,109906
963,451,434313
918,866,794988
588,581,341628
47,585,27495
260,7,1820
325,697,226525
796,567,451332
903,31,27993
317,562,178154
352,310,109120
272,71,19312
858,116,99528
346,583,201718
193,770,148610
220,568,124960
639,22,14058
25,984,24600
11,629,6919
284,640,181760
874,98,85652
517,235,121495
902,329,296758
109,521,56789
159,479,76161
545,396,215820
773,299,231127
580,798,462840
460,688,316480
822,645,530190
462,453,209286
776,917,711592
521,807,420447
709,561,397749
209,142,29678
41,515,21115
591,988,583908
287,744,213528
344,912,313728
36,162,5832
827,710,587170
937,379,355123
659,627,413193
280,776,217280
213,204,43452
134,979,131186
499,584,291416
479,854,409066
659,882,581238
387,863,333981
8,280,2240
895,649,580855
269,455,122395
182,895,162890
362,391,141542
116,618,71688
375,662,248250
337,620,208940
34,327,11118
827,765,632655
93,160,14880
375,225,84375
323,490,158270
661,14,9254
574,204,117096
424,674,285776
439,931,408709
691,351,242541
79,183,14457
665,964,641060
406,709,287854
962,299,287638
266,949,252434
529,707,374003
928,633,587424
250,219,54750
807,151,121857
695,114,79230
150,462,69300
360,45,16200
562,460,258520
430,57,24510
941,867,815847
414,333,137862
56,638,35728
984,71,69864
915,634,580110
987,892,880404
929,930,863970
521,43,22403
919,651,598269
409,883,361147
374,118,44132
587,858,503646
125,179,22375
280,964,269920
303,887,268761
198,465,92070
192,831,159552
10,978,9780
132,885,116820
419,654,274026
156,407,63492
227,699,158673
630,926,583380
750,348,261000
880,483,425040
994,372,369768
237,356,84372
716,341,244156
889,213,189357
113,127,14351
610,497,303170
808,269,217352
397,330,131010
188,860,161680
937,424,397288
324,4,1296
142,723,102666
790,857,677030
727,68,49436
720,845,608400
436,309,134724
770,239,184030
382,805,307510
795,614,488130
477,111,52947
733,305,223565
825,193,159225
411,219,90009
538,625,336250
719,985,708215
874,542,473708
470,339,159330
131,549,71919
412,909,374508
828,306,253368
560,619,346640
621,925,574425
545,29,15805
985,96,94560
25,186,4650
41,567,23247
741,381,282321
359,278,99802
194,329,63826
69,442,30498
714,285,203490
958,694,664852
189,942,178038
212,269,57028
626,240,150240
342,46,15732
8,650,5200
251,237,59487
389,826,321314
77,875,67375
570,617,351690
918,174,159732
884,158,139672
875,861,753375
11,683,7513
583,882,514206
400,841,336400
928,391,362848
822,838,688836
465,662,307830
48,885,42480
920,950,874000
323,21,6783
496,218,108128
584,785,458440
725,899,651775
594,915,543510
518,252,130536
833,777,647241
621,659,409239
198,673,133254
924,38,35112
877,348,305196
130,120,15600
965,527,508555
211,216,45576
274,187,51238
295,360,106200
624,809,504816
166,812,134792
820,153,125460
239,389,92971
344,231,79464
552,263,145176
820,252,206640
398,687,273426
58,160,9280
260,821,213460
365,318,116070
664,771,511944
13,269,3497
838,269,225422
887,829,735323
15,885,13275
151,143,21593
197,304,59888
119,280,33320
888,168,149184
789,354,279306
88,312,27456
648,618,400464
682,349,238018
526,60,31560
620,494,306280
440,524,230560
306,96,29376
510,418,213180
714,483,344862
85,724,61540
575,621,357075
954,941,897714
851,643,547193
